Program to calculate energy of water
Input NAME of configuration file
Thread 11 processed npair 8166
Thread 10 processed npair 16539
Thread 3 processed npair 74969
Thread 4 processed npair 66627
Thread 9 processed npair 24941
Thread 11 processed npair 8165
Thread 5 processed npair 58303
Thread 11 processed npair 8164
Thread 10 processed npair 16538
Thread 7 processed npair 41630
Thread 11 processed npair 8163
Thread 6 processed npair 49958
Thread 9 processed npair 24940
Thread 8 processed npair 33268
Thread 11 processed npair 8162
Thread 10 processed npair 16537
Thread 1 processed npair 91642
Thread 11 processed npair 8161
Thread 11 processed npair 8160
Thread 10 processed npair 16536
Thread 9 processed npair 24939
Thread 7 processed npair 41629
Thread 11 processed npair 8159
Thread 8 processed npair 33267
Thread 0 processed npair 99976
Thread 11 processed npair 8158
Thread 10 processed npair 16535
Thread 4 processed npair 66626
Thread 2 processed npair 83313
Thread 5 processed npair 58302
Thread 11 processed npair 8157
Thread 3 processed npair 74968
Thread 6 processed npair 49957
Thread 9 processed npair 24938
Thread 11 processed npair 8156
Thread 10 processed npair 16534
Thread 11 processed npair 8155
Thread 8 processed npair 33266
Thread 7 processed npair 41628
Thread 10 processed npair 16533
Thread 11 processed npair 8154
Thread 9 processed npair 24937
Thread 11 processed npair 8153
Thread 11 processed npair 8152
Thread 10 processed npair 16532
Thread 11 processed npair 8151
Thread 6 processed npair 49956
Thread 1 processed npair 91641
Thread 5 processed npair 58301
Thread 9 processed npair 24936
Thread 8 processed npair 33265
Thread 11 processed npair 8150
Thread 10 processed npair 16531
Thread 4 processed npair 66625
Thread 7 processed npair 41627
Thread 11 processed npair 8149
Thread 3 processed npair 74967
Thread 10 processed npair 16530
Thread 11 processed npair 8148
Thread 2 processed npair 83312
Thread 9 processed npair 24935
Thread 11 processed npair 8147
Thread 8 processed npair 33264
Thread 10 processed npair 16529
Thread 11 processed npair 8146
Thread 0 processed npair 99975
Thread 11 processed npair 8145
Thread 6 processed npair 49955
Thread 9 processed npair 24934
Thread 7 processed npair 41626
Thread 11 processed npair 8144
Thread 10 processed npair 16528
Thread 5 processed npair 58300
Thread 11 processed npair 8143
Thread 8 processed npair 33263
Thread 4 processed npair 66624
Thread 10 processed npair 16527
Thread 11 processed npair 8142
Thread 9 processed npair 24933
Thread 11 processed npair 8141
Thread 1 processed npair 91640
Thread 10 processed npair 16526
Thread 11 processed npair 8140
Thread 7 processed npair 41625
Thread 3 processed npair 74966
Thread 6 processed npair 49954
Thread 11 processed npair 8139
Thread 9 processed npair 24932
Thread 8 processed npair 33262
Thread 10 processed npair 16525
Thread 11 processed npair 8138
Thread 2 processed npair 83311
Thread 11 processed npair 8137
Thread 5 processed npair 58299
Thread 10 processed npair 16524
Thread 11 processed npair 8136
Thread 9 processed npair 24931
Thread 11 processed npair 8135
Thread 8 processed npair 33261
Thread 7 processed npair 41624
Thread 4 processed npair 66623
Thread 11 processed npair 8134
Thread 10 processed npair 16523
Thread 6 processed npair 49953
Thread 11 processed npair 8133
Thread 0 processed npair 99974
Thread 9 processed npair 24930
Thread 11 processed npair 8132
Thread 10 processed npair 16522
Thread 11 processed npair 8131
Thread 8 processed npair 33260
Thread 3 processed npair 74965
Thread 11 processed npair 8130
Thread 5 processed npair 58298
Thread 9 processed npair 24929
Thread 10 processed npair 16521
Thread 7 processed npair 41623
Thread 1 processed npair 91639
Thread 11 processed npair 8129
Thread 2 processed npair 83310
Thread 11 processed npair 8128
Thread 10 processed npair 16520
Thread 6 processed npair 49952
Thread 11 processed npair 8127
Thread 9 processed npair 24928
Thread 4 processed npair 66622
Thread 8 processed npair 33259
Thread 11 processed npair 8126
Thread 10 processed npair 16519
Thread 11 processed npair 8125
Thread 7 processed npair 41622
Thread 11 processed npair 8124
Thread 9 processed npair 24927
Thread 10 processed npair 16518
Thread 5 processed npair 58297
Thread 11 processed npair 8123
Thread 8 processed npair 33258
Thread 3 processed npair 74964
Thread 11 processed npair 8122
Thread 10 processed npair 16517
Thread 6 processed npair 49951
Thread 9 processed npair 24926
Thread 11 processed npair 8121
Thread 0 processed npair 99973
Thread 7 processed npair 41621
Thread 10 processed npair 16516
Thread 11 processed npair 8120
Thread 4 processed npair 66621
Thread 1 processed npair 91638
Thread 8 processed npair 33257
Thread 11 processed npair 8119
Thread 2 processed npair 83309
Thread 9 processed npair 24925
Thread 11 processed npair 8118
Thread 10 processed npair 16515
Thread 11 processed npair 8117
Thread 5 processed npair 58296
Thread 11 processed npair 8116
Thread 10 processed npair 16514
Thread 6 processed npair 49950
Thread 9 processed npair 24924
Thread 7 processed npair 41620
Thread 8 processed npair 33256
Thread 11 processed npair 8115
Thread 10 processed npair 16513
Thread 11 processed npair 8114
Thread 3 processed npair 74963
Thread 11 processed npair 8113
Thread 9 processed npair 24923
Thread 10 processed npair 16512
Thread 4 processed npair 66620
Thread 11 processed npair 8112
Thread 8 processed npair 33255
Thread 11 processed npair 8111
Thread 7 processed npair 41619
Thread 6 processed npair 49949
Thread 10 processed npair 16511
Thread 5 processed npair 58295
Thread 11 processed npair 8110
Thread 9 processed npair 24922
Thread 2 processed npair 83308
Thread 11 processed npair 8109
Thread 1 processed npair 91637
Thread 0 processed npair 99972
Thread 10 processed npair 16510
Thread 11 processed npair 8108
Thread 8 processed npair 33254
Thread 11 processed npair 8107
Thread 9 processed npair 24921
Thread 10 processed npair 16509
Thread 11 processed npair 8106
Thread 7 processed npair 41618
Thread 11 processed npair 8105
Thread 3 processed npair 74962
Thread 6 processed npair 49948
Thread 10 processed npair 16508
Thread 11 processed npair 8104
Thread 4 processed npair 66619
Thread 9 processed npair 24920
Thread 8 processed npair 33253
Thread 11 processed npair 8103
Thread 5 processed npair 58294
Thread 10 processed npair 16507
Thread 11 processed npair 8102
Thread 11 processed npair 8101
Thread 9 processed npair 24919
Thread 7 processed npair 41617
Thread 10 processed npair 16506
Thread 11 processed npair 8100
Thread 2 processed npair 83307
Thread 8 processed npair 33252
Thread 11 processed npair 8099
Thread 6 processed npair 49947
Thread 10 processed npair 16505
Thread 9 processed npair 24918
Thread 11 processed npair 8098
Thread 1 processed npair 91636
Thread 11 processed npair 8097
Thread 4 processed npair 66618
Thread 5 processed npair 58293
Thread 10 processed npair 16504
Thread 3 processed npair 74961
Thread 11 processed npair 8096
Thread 0 processed npair 99971
Thread 7 processed npair 41616
Thread 8 processed npair 33251
Thread 9 processed npair 24917
Thread 11 processed npair 8095
Thread 10 processed npair 16503
Thread 11 processed npair 8094
Thread 6 processed npair 49946
Thread 11 processed npair 8093
Thread 10 processed npair 16502
Thread 9 processed npair 24916
Thread 8 processed npair 33250
Thread 11 processed npair 8092
Thread 7 processed npair 41615
Thread 10 processed npair 16501
Thread 11 processed npair 8091
Thread 2 processed npair 83306
Thread 5 processed npair 58292
Thread 11 processed npair 8090
Thread 9 processed npair 24915
Thread 4 processed npair 66617
Thread 10 processed npair 16500
Thread 11 processed npair 8089
Thread 8 processed npair 33249
Thread 3 processed npair 74960
Thread 1 processed npair 91635
Thread 11 processed npair 8088
Thread 6 processed npair 49945
Thread 10 processed npair 16499
Thread 9 processed npair 24914
Thread 11 processed npair 8087
Thread 7 processed npair 41614
Thread 11 processed npair 8086
Thread 10 processed npair 16498
Thread 11 processed npair 8085
Thread 8 processed npair 33248
Thread 9 processed npair 24913
